Covered Entity Name,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
"Lake City Cancer Care, LLC",FL,Healthcare Provider,9980,2025-08-15,Hacking/IT Incident,Network Server,Yes,
Mower County Health and Human Services,MN,Healthcare Provider,501,2025-08-15,Hacking/IT Incident,Network Server,No,
Welcome Dentistry-Anaheim,CA,Healthcare Provider,1001,2025-08-15,Hacking/IT Incident,Network Server,No,
Welcome Dentistry-Los Angeles,CA,Healthcare Provider,1001,2025-08-13,Hacking/IT Incident,Network Server,No,
UnitedHealthcare,CT,Health Plan,3215,2025-08-12,Unauthorized Access/Disclosure,Paper/Films,No,
"Laurel Cancer Care, LLC",MS,Healthcare Provider,1541,2025-08-12,Hacking/IT Incident,Email,Yes,
Zelis Healthcare LLC,MA,Business Associate,4289,2025-08-12,Unauthorized Access/Disclosure,Paper/Films,Yes,
Altos Inc,CA,Business Associate,1634,2025-08-11,Hacking/IT Incident,Network Server,Yes,
Altos Inc,CA,Business Associate,1520,2025-08-11,Hacking/IT Incident,Network Server,Yes,
Altos Inc,CA,Business Associate,1011,2025-08-11,Hacking/IT Incident,Network Server,Yes,
Altos Inc,CA,Business Associate,882,2025-08-11,Hacking/IT Incident,Network Server,Yes,
Altos Inc,CA,Business Associate,2366,2025-08-11,Hacking/IT Incident,Network Server,Yes,
Altos Inc,CA,Business Associate,2700,2025-08-11,Hacking/IT Incident,Network Server,Yes,
Altos Inc,CA,Business Associate,6414,2025-08-11,Hacking/IT Incident,Network Server,Yes,
Dr. Doug's Pediatric Dentistry,UT,Healthcare Provider,3590,2025-08-11,Hacking/IT Incident,Email,No,
"Mission City Community Network, Inc.",CA,Healthcare Provider,11016,2025-08-09,Hacking/IT Incident,Network Server,No,
Aflac Incorporated (“Aflac”),GA,Health Plan,13924906,2025-08-08,Hacking/IT Incident,Network Server,No,
Friesen Group,CA,Healthcare Provider,500,2025-08-08,Hacking/IT Incident,Network Server,No,
"Center for Disability Services, Inc.",NY,Healthcare Provider,3343,2025-08-08,Hacking/IT Incident,Email,No,
PROVAIL,WA,Healthcare Provider,501,2025-08-08,Hacking/IT Incident,Network Server,No,
South Coast Pediatrics,CA,Healthcare Provider,7000,2025-08-05,Hacking/IT Incident,Network Server,No,
"Oglethorpe, Inc.",FL,Healthcare Provider,92332,2025-08-05,Hacking/IT Incident,Network Server,No,
Precision Edodontics of Raleigh,NC,Healthcare Provider,4022,2025-08-05,Hacking/IT Incident,Email,No,
MDLand International Corporation ,NY,Business Associate,22586,2025-08-04,Hacking/IT Incident,Network Server,Yes,
Genoa Community Hospital/LTC,NE,Healthcare Provider,2544,2025-08-04,Hacking/IT Incident,Email,No,
Highlands Oncology Group PA,AR,Healthcare Provider,111766,2025-08-01,Hacking/IT Incident,Network Server,No,
"Langdon & Company, LLP Certified Public Accountants",NC,Business Associate,46061,2025-08-01,Hacking/IT Incident,Network Server,Yes,
DaVita Inc.,CO,Healthcare Provider,2689826,2025-08-01,Hacking/IT Incident,Network Server,No,
Western Montana Clinic PC,MT,Healthcare Provider,8255,2025-08-01,Hacking/IT Incident,Email,No,
Vail Summit Orthopaedics,CO,Healthcare Provider,5044,2025-07-31,Hacking/IT Incident,Email,No,
Central Maine Healthcare,ME,Healthcare Provider,7223,2025-07-31,Hacking/IT Incident,Network Server,No,
"Berkshire Health Systems, Inc.",MA,Healthcare Provider,1421,2025-07-30,Unauthorized Access/Disclosure,Electronic Medical Record,No,
The Center at Cordera,CO,Healthcare Provider,6057,2025-07-29,Hacking/IT Incident,Network Server,No,
"Compass Counseling Services, LLC",FL,Healthcare Provider,5440,2025-07-29,Hacking/IT Incident,Network Server,No,
"Alera Group, Inc.",IL,Business Associate,155567,2025-07-29,Hacking/IT Incident,Network Server,Yes,
"PhyNet Dermatology, LLC",TN,Business Associate,1308,2025-07-29,Hacking/IT Incident,Email,Yes,
University of Miami,FL,Healthcare Provider,2928,2025-07-29,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Northwest Denture Center, Inc. ",WA,Healthcare Provider,19419,2025-07-25,Hacking/IT Incident,Network Server,No,
Doctors’ Memorial Hospital ,FL,Healthcare Provider,500,2025-07-25,Hacking/IT Incident,Network Server,Yes,
"Nova Recovery Center, LLC d/b/a Nova Recovery Center",TX,Healthcare Provider,6242,2025-07-24,Hacking/IT Incident,Network Server,No,
McKenzie Memorial Hospital,MI,Healthcare Provider,58839,2025-07-24,Hacking/IT Incident,Network Server,No,
Gastroenterology Consultants of South Texas ,TX,Healthcare Provider,44579,2025-07-22,Hacking/IT Incident,Network Server,No,
Kettering Adventist Healthcare,OH,Healthcare Provider,501,2025-07-21,Hacking/IT Incident,Network Server,No,
OrthoAtlanta LLC,GA,Business Associate,626,2025-07-21,Hacking/IT Incident,Email,Yes,
"Infinite Services, Inc.",NY,Healthcare Provider,31742,2025-07-21,Hacking/IT Incident,Network Server,No,
Dr. Michael Bilikas and Associates d.b.a. 32 Pearls,WA,Healthcare Provider,23517,2025-07-21,Hacking/IT Incident,Network Server,No,
Blue Shield of California,CA,Health Plan,783,2025-07-21,Unauthorized Access/Disclosure,"Laptop, Network Server, Other",No,
Equilibria Mental Health Services,PA,Healthcare Provider,3232,2025-07-20,Hacking/IT Incident,Email,No,
"Keys Pathology Associates, PA",FL,Healthcare Provider,20000,2025-07-19,Hacking/IT Incident,Network Server,Yes,
Oregon Specialty Group,OR,Healthcare Provider,3337,2025-07-18,Hacking/IT Incident,Network Server,No,
The Brien Center for Mental Health and Substance Abuse Services,MA,Healthcare Provider,5427,2025-07-18,Hacking/IT Incident,Network Server,No,
Human Development Services of Westchester,NY,Healthcare Provider,501,2025-07-18,Hacking/IT Incident,Email,No,
Self Regional Healthcare,SC,Healthcare Provider,26696,2025-07-17,Hacking/IT Incident,Network Server,Yes,
Mid South Rehab Services Inc. ,MS,Healthcare Provider,1316,2025-07-15,Hacking/IT Incident,Email,No,
Williamsburg Area Medical Assistance Corporation d/b/a Olde Towne Medical and Dental Center (OTMDC),VA,Healthcare Provider,2567,2025-07-13,Hacking/IT Incident,Network Server,No,
Regency Oaks,FL,Healthcare Provider,2008,2025-07-11,Hacking/IT Incident,Email,No,
Freedom Plaza Senior Living,FL,Healthcare Provider,4847,2025-07-11,Hacking/IT Incident,Email,No,
Freedom Square of Seminole,FL,Healthcare Provider,3473,2025-07-11,Hacking/IT Incident,Email,No,
"Picis Clinical Solutions, Inc. d/b/a Medstreaming",MA,Business Associate,500,2025-07-11,Hacking/IT Incident,Network Server,Yes,
Covenant Health ,MA,Business Associate,7864,2025-07-11,Hacking/IT Incident,Network Server,Yes,
Anne Arundel Dermatology ,MD,Healthcare Provider,1905000,2025-07-11,Hacking/IT Incident,Network Server,No,
Mountain Laurel Dermatology,NC,Healthcare Provider,3324,2025-07-10,Hacking/IT Incident,Network Server,No,
Naper Grove Vision Care,IL,Healthcare Provider,501,2025-07-10,Hacking/IT Incident,Network Server,No,
"Florida Lung, Asthma & Sleep Specialists (FLASS)",FL,Healthcare Provider,10000,2025-07-09,Hacking/IT Incident,Network Server,No,
Ascension Health Services LLC dba Alpha Wellness & Alpha Medical Centre,GA,Healthcare Provider,1714,2025-07-08,Hacking/IT Incident,Network Server,No,
Complete Care Rehab LLC,MI,Healthcare Provider,4764,2025-07-08,Hacking/IT Incident,Network Server,No,
K&E Advanced Dentisrty,OH,Healthcare Provider,1700,2025-07-07,Hacking/IT Incident,Email,No,
City of Franklin,WI,Healthcare Provider,3233,2025-07-03,Hacking/IT Incident,Network Server,No,
"Zumpano Patricios, P.A.",FL,Business Associate,279275,2025-07-03,Hacking/IT Incident,Network Server,Yes,
Cierant Corporation ,CT,Business Associate,232506,2025-07-03,Hacking/IT Incident,Network Server,Yes,
"Arbor Associates, Inc.",MI,Business Associate,17040,2025-07-03,Hacking/IT Incident,Network Server,Yes,
Urology Associates of Charleston,SC,Healthcare Provider,2060,2025-07-03,Hacking/IT Incident,Email,No,
"Radiology Associates of Richmond, Inc.",VA,Healthcare Provider,1419091,2025-07-01,Hacking/IT Incident,Network Server,No,
Texas Center for Infectious Disease Associates,TX,Healthcare Provider,19481,2025-06-30,Hacking/IT Incident,Network Server,No,
Centers for Medicare & Medicaid Services,MD,Health Plan,107154,2025-06-30,Hacking/IT Incident,Network Server,No,
Clinical Practices of the University of Pennsylvania,PA,Healthcare Provider,1432,2025-06-30,Unauthorized Access/Disclosure,Paper/Films,No,
Southwest Urology,OH,Healthcare Provider,7214,2025-06-27,Hacking/IT Incident,Email,Yes,
"Radiation Oncology Network of Southern California, LLC",CA,Healthcare Provider,12944,2025-06-27,Hacking/IT Incident,Email,Yes,
PDCM Insurance,IA,Business Associate,501,2025-06-27,Hacking/IT Incident,Network Server,Yes,
Rocky Mountain Oncology Care,WY,Healthcare Provider,10268,2025-06-27,Hacking/IT Incident,Email,Yes,
PET Imaging of Tulsa,OK,Healthcare Provider,3159,2025-06-27,Hacking/IT Incident,Email,Yes,
PET Imaging of The Woodlands,TX,Healthcare Provider,2978,2025-06-27,Hacking/IT Incident,Email,Yes,
PET Imaging of Northern Colorado,CO,Healthcare Provider,4824,2025-06-27,Hacking/IT Incident,Email,Yes,
PET Imaging of Houston Medical Center,TX,Healthcare Provider,1236,2025-06-27,Hacking/IT Incident,Email,Yes,
PET Imaging of Dallas Northeast,TX,Healthcare Provider,1935,2025-06-27,Hacking/IT Incident,Email,Yes,
Orange County Radiation Oncology Medical Group,CA,Healthcare Provider,1911,2025-06-27,Hacking/IT Incident,Email,Yes,
"Lake City Cancer Care, LLC",FL,Healthcare Provider,15142,2025-06-27,Hacking/IT Incident,Email,Yes,
Heartland Regional Medical Center d/b/a Mosaic Life Care,MO,Healthcare Provider,145269,2025-06-27,Hacking/IT Incident,Network Server,Yes,
"Compumedics USA, Inc.",NC,Business Associate,318150,2025-06-27,Hacking/IT Incident,Network Server,Yes,
Integrated Oncology Network,TN,Business Associate,4174,2025-06-27,Hacking/IT Incident,Email,Yes,
Fairbanks Urology,AK,Healthcare Provider,4289,2025-06-27,Hacking/IT Incident,Email,Yes,
Denali Biomedical,AK,Healthcare Provider,2413,2025-06-27,Hacking/IT Incident,Email,Yes,
Horizon Healthcare RCM,IN,Healthcare Clearing House,210901,2025-06-27,Hacking/IT Incident,Network Server,No,
Cancer Care Center of North Florida-Lake Butler,FL,Healthcare Provider,976,2025-06-27,Hacking/IT Incident,Email,Yes,
California Cancer Associates for Research and Excellence – San Diego,CA,Healthcare Provider,638,2025-06-27,Hacking/IT Incident,Email,Yes,
California Cancer Associates for Research and Excellence – High Desert,CA,Healthcare Provider,17250,2025-06-27,Hacking/IT Incident,Email,Yes,
Bardmoor Cancer Center,FL,Healthcare Provider,991,2025-06-27,Hacking/IT Incident,Email,Yes,
"Acadiana Radiation Therapy, LLC",LA,Healthcare Provider,2219,2025-06-27,Hacking/IT Incident,Email,Yes,
"Jordan Drug, Inc.",KY,Healthcare Provider,4947,2025-06-26,Hacking/IT Incident,Network Server,No,
Clement Manor,WI,Healthcare Provider,16046,2025-06-25,Hacking/IT Incident,Network Server,No,
McLaren Health Care,MI,Healthcare Provider,743131,2025-06-24,Hacking/IT Incident,Network Server,No,
Gardner Orthopedics LLC,FL,Healthcare Provider,47000,2025-06-24,Hacking/IT Incident,Desktop Computer,No,
Minneapolis VA Medical Center,MN,Healthcare Provider,1099,2025-06-24,Unauthorized Access/Disclosure,Paper/Films,No,
Mainline Health Systems Inc,AR,Healthcare Provider,101104,2025-06-23,Hacking/IT Incident,Network Server,No,
Blue Shield of California,CA,Business Associate,673,2025-06-23,Unauthorized Access/Disclosure,Email,Yes,
Esse Health ,MO,Healthcare Provider,23671,2025-06-20,Hacking/IT Incident,Network Server,No,
"Los Angeles County Developmental Services Fdn., Inc. dba Frank D. Lanterman Regional Ctr.",CA,Healthcare Provider,19000,2025-06-20,Hacking/IT Incident,Email,No,
"Retina Associates of Cleveland, Inc.",OH,Healthcare Provider,3604,2025-06-20,Hacking/IT Incident,Email,No,
Harbor,OH,Healthcare Provider,2703,2025-06-20,Hacking/IT Incident,Email,No,
Skin Care Specialty Physicians,MD,Healthcare Provider,1038,2025-06-19,Hacking/IT Incident,Email,No,
"TRG, LLC ",OR,Healthcare Provider,70434,2025-06-18,Hacking/IT Incident,Network Server,Yes,
Iron County Medical Center,MO,Healthcare Provider,10239,2025-06-18,Hacking/IT Incident,Email,No,
Marquette County Medical Care Facility,OH,Healthcare Provider,1499,2025-06-18,Hacking/IT Incident,Email,No,
Winkler County Hospital District,TX,Healthcare Provider,637,2025-06-17,Unauthorized Access/Disclosure,Email,No,
Broadwest Specialty Surgical Center,IN,Healthcare Provider,536,2025-06-17,Hacking/IT Incident,Network Server,Yes,
"Decisely Insurance Services, LLC",GA,Business Associate,537603,2025-06-13,Hacking/IT Incident,"Network Server, Other",Yes,
Central Kentucky Radiology,KY,Healthcare Provider,166953,2025-06-13,Hacking/IT Incident,Network Server,No,
Diversified Services Enterprises,FL,Business Associate,501,2025-06-13,Hacking/IT Incident,Network Server,Yes,
Elmore County,ID,Healthcare Provider,931,2025-06-13,Hacking/IT Incident,Email,No,
AltaMed Health Services Corporation,CA,Healthcare Provider,4530,2025-06-13,Unauthorized Access/Disclosure,Email,No,
Mount Rogers Community Services,VA,Healthcare Provider,38191,2025-06-13,Hacking/IT Incident,Network Server,No,
Imperial Beach Community Clinic,CA,Healthcare Provider,10358,2025-06-12,Hacking/IT Incident,Network Server,No,
Kelley Drye & Warren LLP,NY,Business Associate,771,2025-06-12,Hacking/IT Incident,Network Server,Yes,
Rural Health Services ,SC,Healthcare Provider,36542,2025-06-12,Hacking/IT Incident,Network Server,No,
Clarkston Chiropractic Sports & Wellness,MI,Healthcare Provider,2757,2025-06-11,Hacking/IT Incident,Network Server,Yes,
"Repay Management Services, LLC",GA,Health Plan,606,2025-06-10,Hacking/IT Incident,Network Server,Yes,
"Southern Connecticut Vascular Center, LLC",CT,Healthcare Provider,154417,2025-06-09,Hacking/IT Incident,Network Server,No,
"Episource, LLC",CA,Business Associate,6725572,2025-06-06,Hacking/IT Incident,Network Server,Yes,
Blue Shield of California,CA,Business Associate,1543,2025-06-06,Unauthorized Access/Disclosure,Other,Yes,
Sharp Community Medical Group,CA,Healthcare Provider,26976,2025-06-06,Hacking/IT Incident,Network Server,Yes,
Public Health Trust of Miami Dade County DBA Jackson Health System,FL,Healthcare Provider,2599,2025-06-06,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Sharp HealthCare,CA,Healthcare Provider,500,2025-06-06,Hacking/IT Incident,Network Server,Yes,
"Huron Regional Medical Center, Inc.",SD,Healthcare Provider,25398,2025-06-06,Hacking/IT Incident,Network Server,No,
Centivo Corporation,GA,Business Associate,630,2025-06-06,Unauthorized Access/Disclosure,Email,Yes,
NYC Health + Hospitals,NY,Healthcare Provider,5728,2025-06-06,Hacking/IT Incident,Network Server,Yes,
"Sensata Technologies, Inc. Health and Welfare Benefit Plan",MA,Health Plan,15630,2025-06-05,Hacking/IT Incident,Network Server,No,
Jupiter Family Medicine PC,MI,Healthcare Provider,3000,2025-06-05,Unauthorized Access/Disclosure,Paper/Films,No,
Renkim Corporation,MI,Business Associate,105518,2025-06-02,Hacking/IT Incident,Network Server,Yes,
Cumberland County Hospital Association,KY,Healthcare Provider,36659,2025-06-02,Hacking/IT Incident,Other,No,
Upper Dublin Family Dentistry,PA,Healthcare Provider,5000,2025-05-30,Hacking/IT Incident,Network Server,No,
Oliver Street Dermatology Management LLC ,TX,Business Associate,13717,2025-05-30,Hacking/IT Incident,Network Server,Yes,
"Providia Home Care, LLC dba Preferred Care Home Health Services",FL,Healthcare Provider,38401,2025-05-30,Hacking/IT Incident,Email,No,
Horizon Blue Cross Blue Shield NJ,NJ,Health Plan,781,2025-05-30,Hacking/IT Incident,Network Server,No,
Next Step Healthcare LLC,MA,Healthcare Provider,12090,2025-05-30,Hacking/IT Incident,Network Server,No,
Missouri Department of Conservation,MO,Health Plan,10260,2025-05-30,Hacking/IT Incident,Network Server,No,
Northwestern Community Services Board,VA,Healthcare Provider,21856,2025-05-29,Hacking/IT Incident,Network Server,No,
"Gateway Community Services, Inc. ",FL,Healthcare Provider,34498,2025-05-29,Hacking/IT Incident,Network Server,No,
Erlanger Health,TN,Healthcare Provider,3371,2025-05-28,Hacking/IT Incident,Network Server,Yes,
The Smith Institute for Urology,NY,Healthcare Provider,2263,2025-05-28,Unauthorized Access/Disclosure,Desktop Computer,No,
"Covenant Surgical Partners, Inc.",TX,Business Associate,88609,2025-05-28,Hacking/IT Incident,Network Server,Yes,
"Mary B. Toporcer, MD, P.C.",PA,Healthcare Provider,501,2025-05-28,Hacking/IT Incident,Email,No,
Cahaba Center for Mental Health,AL,Healthcare Provider,501,2025-05-27,Hacking/IT Incident,Email,No,
NHPP Physical Medicine and Rehabilitation,NY,Healthcare Provider,1353,2025-05-23,Unauthorized Access/Disclosure,Other,No,
"Sports Physical Therapy, Occupational Therapy and Rehabilitation Services of the North Shore, P.L.L.C",NY,Healthcare Provider,6195,2025-05-23,Unauthorized Access/Disclosure,Other,No,
North Shore University Hospital Sleep Disorders Center,NY,Healthcare Provider,13332,2025-05-23,Unauthorized Access/Disclosure,Other,No,
The Cooper Health System,NJ,Healthcare Provider,57412,2025-05-23,Hacking/IT Incident,Network Server,No,
Access2Day Health ,LA,Business Associate,4908,2025-05-23,Hacking/IT Incident,Email,Yes,
Connections for Kids,ME,Healthcare Provider,938,2025-05-23,Hacking/IT Incident,Email,No,
Instituto de Ojos de Puerto Rico,,Healthcare Provider,50000,2025-05-19,Hacking/IT Incident,Network Server,No,
Community Hospital of Anaconda,MT,Healthcare Provider,21243,2025-05-19,Hacking/IT Incident,Network Server,No,
Insulet Corporation,MA,Healthcare Provider,841,2025-05-16,Unauthorized Access/Disclosure,Network Server,No,
"Mercy Surgical Dressing Group, Inc.",PA,Business Associate,4159,2025-05-16,Hacking/IT Incident,Network Server,Yes,
"Compassion Health Care, Inc.",NC,Healthcare Provider,23282,2025-05-16,Hacking/IT Incident,Network Server,No,
"Harbin Clinic, LLC",GA,Healthcare Provider,176149,2025-05-16,Hacking/IT Incident,Network Server,Yes,
Weiser Valley Hospital District dba Weiser Memorial Hospital,ID,Healthcare Provider,59990,2025-05-15,Hacking/IT Incident,Network Server,No,
"HopeHealth, Inc.",SC,Healthcare Provider,5823,2025-05-15,Hacking/IT Incident,Network Server,No,
"CareNexa, LLC, doing business as Molecular Testing Labs",WA,Healthcare Provider,7711,2025-05-15,Hacking/IT Incident,Network Server,Yes,
Hunter Health Clinic,KS,Healthcare Provider,28431,2025-05-15,Hacking/IT Incident,Email,No,
Anne Arundel County Department of Health,MD,Healthcare Provider,500,2025-05-15,Hacking/IT Incident,Network Server,No,
"Doctors Hospital at Renaissance, LTD",TX,Healthcare Provider,501,2025-05-15,Hacking/IT Incident,Network Server,No,
Union County Children and Youth Services,PA,Healthcare Provider,501,2025-05-13,Hacking/IT Incident,Network Server,No,
CVS Caremark ,RI,Business Associate,2599,2025-05-13,Unauthorized Access/Disclosure,Paper/Films,Yes,
Washington Gastroenterology,WA,Healthcare Provider,501,2025-05-09,Hacking/IT Incident,Network Server,No,
Blue Cross Blue Shield of Texas,IL,Business Associate,593,2025-05-09,Unauthorized Access/Disclosure,Paper/Films,Yes,
"Tri-City Cardiology Consultants, P.C.",AZ,Healthcare Provider,22753,2025-05-08,Hacking/IT Incident,Network Server,No,
Allied Services Division Welfare Fund,IL,Health Plan,5727,2025-05-07,Hacking/IT Incident,Email,No,
The Carpenter Health Network,LA,Healthcare Provider,878,2025-05-06,Hacking/IT Incident,Network Server,No,
"SunLink Health Systems, Inc.",GA,Healthcare Provider,2856,2025-05-06,Hacking/IT Incident,Network Server,Yes,
"Minnesota Orthodontics and Dentofacial Orthopedics, P.A.",MN,Healthcare Provider,501,2025-05-05,Hacking/IT Incident,Network Server,No,
"Monongalia Health System, Inc.",WV,Healthcare Provider,4895,2025-05-03,Unauthorized Access/Disclosure,Email,No,
CardioVascular Health Clinic,OK,Healthcare Provider,501,2025-05-03,Hacking/IT Incident,Network Server,No,
"Absolute Dental Group, LLC",NV,Business Associate,501,2025-05-02,Hacking/IT Incident,Network Server,Yes,
DermCare Management,FL,Business Associate,501,2025-05-02,Hacking/IT Incident,Network Server,Yes,
"Anesthesia Associates of Morristown, P.A.",NJ,Healthcare Provider,34675,2025-05-02,Improper Disposal,Paper/Films,Yes,
Sonrisas Dental Health,CA,Healthcare Provider,15644,2025-05-02,Hacking/IT Incident,Network Server,No,
Canby Clinic,OR,Healthcare Provider,549,2025-04-30,Unauthorized Access/Disclosure,Email,No,
"Berkeley Research Group, LLC",CA,Business Associate,500,2025-04-30,Hacking/IT Incident,Network Server,Yes,
Family Christian Health Center ,IL,Healthcare Provider,12500,2025-04-30,Hacking/IT Incident,Network Server,No,
"Physician Wound Solutions, LLC dba Apollo Medical Supply",FL,Healthcare Provider,3561,2025-04-29,Unauthorized Access/Disclosure,Network Server,Yes,
Ascension Health,MO,Healthcare Provider,437329,2025-04-28,Hacking/IT Incident,Network Server,No,
"Maximus, Inc.",VA,Business Associate,4955,2025-04-25,Unauthorized Access/Disclosure,Network Server,Yes,
Carlton County Public Health and Human Services,MN,Healthcare Provider,3502,2025-04-25,Hacking/IT Incident,Email,No,
Brainard Surgery Center LLC,OH,Healthcare Provider,1820,2025-04-24,Hacking/IT Incident,Network Server,No,
Palo Verde Hospital,CA,Healthcare Provider,594,2025-04-24,Hacking/IT Incident,Network Server,No,
"Drug and Alcohol Treatment Services, Inc.",PA,Healthcare Provider,22215,2025-04-24,Hacking/IT Incident,Network Server,No,
Cache Valley Ear Nose & Throat ,UT,Healthcare Provider,26469,2025-04-24,Hacking/IT Incident,Network Server,No,
Orthopaedic Specialists of Connecticut,CT,Healthcare Provider,22541,2025-04-23,Hacking/IT Incident,Network Server,No,
Icon Family Healthcare LLC,CA,Healthcare Provider,1800,2025-04-22,Unauthorized Access/Disclosure,Email,No,
Onsite Mammography,MA,Business Associate,357265,2025-04-21,Hacking/IT Incident,Email,Yes,
"90 Degree Benefits, Inc. – St. Paul",WI,Business Associate,1268,2025-04-18,Hacking/IT Incident,Email,Yes,
HEALTH AND WELLNESS OF TEXAS,TX,Healthcare Provider,500,2025-04-16,Unauthorized Access/Disclosure,"Electronic Medical Record, Email",No,
Recovery Epicenter Foundation,FL,Healthcare Provider,800,2025-04-16,Unauthorized Access/Disclosure,Network Server,No,
Magnolia Manor Inc.,GA,Healthcare Provider,960,2025-04-15,Hacking/IT Incident,Network Server,No,
"The City of Long Beach, CA",CA,Healthcare Provider,258191,2025-04-14,Hacking/IT Incident,Network Server,No,
"Bell Ambulance, Inc.",WI,Healthcare Provider,237830,2025-04-14,Hacking/IT Incident,Network Server,No,
AHS Sherman LLC dba AHS Sherman Medical Center,TX,Healthcare Provider,908,2025-04-14,Unauthorized Access/Disclosure,Email,No,
Health Care Service Corporation,IL,Health Plan,2944,2025-04-13,Unauthorized Access/Disclosure,Other,No,
Blue Cross and Blue Shield of Texas,IL,Health Plan,12086,2025-04-13,Unauthorized Access/Disclosure,Other,No,
Blue Cross and Blue Shield of Oklahoma,IL,Health Plan,1020,2025-04-13,Unauthorized Access/Disclosure,Other,No,
Blue Cross and Blue Shield of Illinois,IL,Health Plan,6903,2025-04-13,Unauthorized Access/Disclosure,Other,No,
Summit Healthcare Medical Associates,AZ,Healthcare Provider,1861,2025-04-11,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Altior Healthcare, LLC",CA,Healthcare Provider,1002,2025-04-11,Hacking/IT Incident,Email,No,
Endue Software,ME,Business Associate,118028,2025-04-11,Hacking/IT Incident,Network Server,Yes,
The Gatesworth Senior Living St. Louis,MO,Healthcare Provider,31124,2025-04-11,Hacking/IT Incident,Network Server,No,
Parc Provence Memory Care Facility,MO,Healthcare Provider,13954,2025-04-11,Hacking/IT Incident,Network Server,No,
Jacksonville Medical Care ,AR,Healthcare Provider,6262,2025-04-10,Hacking/IT Incident,Network Server,No,
Cabot Medical Care ,AR,Healthcare Provider,21467,2025-04-10,Hacking/IT Incident,Network Server,No,
"Kelly & Associates Insurance Group, Inc. ",MD,Business Associate,553332,2025-04-09,Hacking/IT Incident,Network Server,Yes,
Blue Shield of California,CA,Business Associate,4700000,2025-04-09,Hacking/IT Incident,Network Server,Yes,
Alabama Ophthalmology Associates,AL,Healthcare Provider,131576,2025-04-08,Hacking/IT Incident,"Desktop Computer, Network Server",No,
"Friendship House, Inc.",NE,Healthcare Provider,501,2025-04-04,Hacking/IT Incident,Network Server,No,
Loretto Hospital ,IL,Healthcare Provider,501,2025-04-04,Hacking/IT Incident,Network Server,No,
"Newburgh Healthcare Residential Center, Inc.",IN,Healthcare Provider,700,2025-04-04,Hacking/IT Incident,Network Server,No,
Dallas County MHMR dba Metrocare Services,TX,Healthcare Provider,553,2025-04-03,Unauthorized Access/Disclosure,"Email, Network Server",No,
Hamilton County Government,TN,Healthcare Provider,14081,2025-04-03,Hacking/IT Incident,Network Server,Yes,
Dameron Hospital,CA,Healthcare Provider,210706,2025-04-02,Hacking/IT Incident,Network Server,No,
"Allegany Council on Alcoholism & Substance Abuse, Inc.",NY,Healthcare Provider,696,2025-04-02,Hacking/IT Incident,Email,No,
True Dental Care For Kids and Adults LLC,PA,Healthcare Provider,17640,2025-04-02,Hacking/IT Incident,Network Server,No,
Health Services LLC,OH,Healthcare Provider,75906,2025-04-01,Hacking/IT Incident,Network Server,No,
Gardner Health Services,CA,Healthcare Provider,26000,2025-04-01,Unauthorized Access/Disclosure,Paper/Films,Yes,
Central District Health Department of Nebraska,NE,Healthcare Provider,58519,2025-04-01,Hacking/IT Incident,Network Server,No,
"Family Centers, Inc.",CT,Healthcare Provider,12142,2025-03-31,Hacking/IT Incident,Network Server,No,
North Hudson Community Action Corporation,NJ,Healthcare Provider,501,2025-03-28,Hacking/IT Incident,Network Server,No,
"Community Dental Care, Inc.  ",MN,Healthcare Provider,134903,2025-03-28,Hacking/IT Incident,Network Server,No,
Baptist Hospitals of Southeast Texas,TX,Healthcare Provider,501,2025-03-28,Hacking/IT Incident,Network Server,No,
Mayo Clinic,MN,Healthcare Provider,1869,2025-03-28,Unauthorized Access/Disclosure,Email,No,
Frederick Health,MD,Healthcare Provider,934326,2025-03-28,Hacking/IT Incident,Network Server,No,
SimonMed Imaging,AZ,Healthcare Provider,500,2025-03-27,Hacking/IT Incident,Network Server,No,
Western Wayne Family Physicians ,MI,Healthcare Provider,62000,2025-03-26,Hacking/IT Incident,Network Server,No,
Concord Orthopaedics,NH,Healthcare Provider,72815,2025-03-25,Hacking/IT Incident,Network Server,No,
Bigfork Valley Hospital,MN,Healthcare Provider,8496,2025-03-25,Hacking/IT Incident,Email,No,
MedicareCompareUSA,WA,Business Associate,5782,2025-03-21,Hacking/IT Incident,Email,Yes,
"MedRevenu, LLC",CA,Business Associate,17775,2025-03-21,Hacking/IT Incident,Network Server,Yes,
"Mid Florida Primary Care, PA ",FL,Healthcare Provider,16435,2025-03-21,Hacking/IT Incident,Network Server,No,
AmeriHealth Caritas Louisiana ,LA,Health Plan,1552,2025-03-21,Unauthorized Access/Disclosure,"Network Server, Other",No,
"Fyzical Acquisition Holdings, LLC",FL,Business Associate,43045,2025-03-21,Hacking/IT Incident,Email,Yes,
Millennium Home Health Care,OK,Healthcare Provider,4743,2025-03-19,Hacking/IT Incident,Network Server,No,
"The Pavilion at HealthPark, LLC dba Park Royal Hospital",FL,Healthcare Provider,9349,2025-03-18,Hacking/IT Incident,Email,No,
Presbyterian Health Plan,NM,Health Plan,7100,2025-03-18,Hacking/IT Incident,Email,No,
