Covered Entity Name,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
"TMG Health, Inc.",TX,Business Associate,2076,2026-01-13,Unauthorized Access/Disclosure,Network Server,Yes,
"FullBeauty Brands, Inc. Associate Benefits Plan",NY,Health Plan,4725,2026-01-13,Hacking/IT Incident,Network Server,No,
Avosina Healthcare Solutions,VA,Business Associate,44425,2026-01-10,Hacking/IT Incident,Network Server,Yes,
Foundation Health Partners,AK,Healthcare Provider,523,2026-01-09,Unauthorized Access/Disclosure,Paper/Films,No,
Illinois Department of Human Services,IL,Health Plan,705017,2026-01-09,Unauthorized Access/Disclosure,Network Server,No,
"The Center for Neuropsychology and Learning, PC ",MI,Healthcare Provider,3722,2026-01-09,Hacking/IT Incident,Network Server,No,
Central Ozarks Medical Center,MO,Healthcare Provider,11818,2026-01-09,Hacking/IT Incident,Network Server,No,
Devereux Foundation,PA,Healthcare Provider,501,2026-01-08,Hacking/IT Incident,Network Server,No,
"ABKSW PREFERRED HEALTH PARTNERS, PLLC d/b/a NORTH TEXAS PREFERRED HEALTH PARTNERS",TX,Healthcare Provider,2074,2026-01-08,Hacking/IT Incident,Network Server,Yes,
Methodist Homes of Alabama and Northwest Florida,AL,Healthcare Provider,1406,2026-01-06,Hacking/IT Incident,Email,No,
Pit River Health Service Inc.,CA,Healthcare Provider,1800,2026-01-06,Hacking/IT Incident,Network Server,No,
"Mid Michigan Medical Billing Service, Inc.",MI,Business Associate,28185,2026-01-05,Hacking/IT Incident,Network Server,Yes,
Advanced Healthcare Professionals,TX,Healthcare Provider,800,2025-12-31,Hacking/IT Incident,Network Server,No,
Andover Eye Associates,MA,Healthcare Provider,1638,2025-12-31,Hacking/IT Incident,Email,No,
"Steel Encounters, Inc.",UT,Healthcare Provider,959,2025-12-31,Hacking/IT Incident,Network Server,No,
Exact Sciences Laboratories LLC ,WI,Healthcare Provider,2658,2025-12-29,Unauthorized Access/Disclosure,Paper/Films,No,
"Associated Radiologists of the Finger Lakes, P.C.",NY,Business Associate,501,2025-12-29,Hacking/IT Incident,Network Server,Yes,
"Docs Medical Group, Inc. dba Pulse Urgent Care",CA,Healthcare Provider,4035,2025-12-28,Hacking/IT Incident,Network Server,No,
CareOregon,OR,Health Plan,5473,2025-12-26,Unauthorized Access/Disclosure,Network Server,No,
"BlueCross BlueShield of Tennessee, Inc. ",TN,Business Associate,780,2025-12-26,Unauthorized Access/Disclosure,Email,Yes,
Glendale Obstetrics & Gynecology PCA,AZ,Healthcare Provider,501,2025-12-24,Hacking/IT Incident,Network Server,No,
AllerVie Health ,TX,Healthcare Provider,80521,2025-12-23,Hacking/IT Incident,Network Server,No,
Artemis Healthcare Inc.,TN,Healthcare Provider,45867,2025-12-23,Hacking/IT Incident,Network Server,No,
York Hospital,ME,Healthcare Provider,1259,2025-12-23,Unauthorized Access/Disclosure,Paper/Films,No,
Riverland Community Health,MN,Healthcare Provider,940,2025-12-23,Unauthorized Access/Disclosure,Network Server,Yes,
HAP (Health Alliance Plan),MI,Health Plan,1059,2025-12-22,Hacking/IT Incident,Email,No,
TapestryHealth,CT,Healthcare Provider,6494,2025-12-22,Unauthorized Access/Disclosure,Other,No,
Chicago Cosmetic Surgery and Dermatology,IL,Healthcare Provider,700,2025-12-22,Hacking/IT Incident,Network Server,No,
Reproductive Medicine Associates of Michigan,MI,Healthcare Provider,501,2025-12-19,Hacking/IT Incident,Network Server,No,
"Anesthesiology & Pain Consultants, LLC",LA,Healthcare Provider,538,2025-12-19,Unauthorized Access/Disclosure,Other Portable Electronic Device,No,
Howard Brown Health,IL,Healthcare Provider,8357,2025-12-19,Hacking/IT Incident,Electronic Medical Record,Yes,
Mitchell County Department of Social Services,NC,Healthcare Provider,501,2025-12-19,Hacking/IT Incident,Network Server,No,
"Medical Center, LLP",GA,Healthcare Provider,32090,2025-12-19,Hacking/IT Incident,Network Server,No,
North East Medical Services,CA,Healthcare Provider,91513,2025-12-18,Hacking/IT Incident,Network Server,No,
"Excellent Home Care Services, LLC",NY,Healthcare Provider,16278,2025-12-17,Hacking/IT Incident,Email,No,
FPMCM LLC,TN,Business Associate,2072,2025-12-15,Unauthorized Access/Disclosure,Email,Yes,
"OCAT, LLC dba Evoke Wellness at Hilliard",OH,Healthcare Provider,1629,2025-12-12,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Fieldtex Products, Inc.",NY,Business Associate,104071,2025-12-12,Hacking/IT Incident,Network Server,Yes,
"Heywood Healthcare Inc. including Henry Heywood Memorial Hospital, Athol Memorial Hospital, and Heywood Medical Group, Inc. (“Heywood”)",MA,Healthcare Provider,500,2025-12-12,Hacking/IT Incident,Network Server,No,
"Baltimore Medical System, Inc.",MA,Healthcare Provider,501,2025-12-12,Hacking/IT Incident,Network Server,No,
Centric Health,CA,Healthcare Provider,6855,2025-12-10,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,
Heart of Texas Behavioral Health Network,TX,Healthcare Provider,1309,2025-12-10,Unauthorized Access/Disclosure,Paper/Films,No,
"Southern Oregon Neurosurgical and Spine Associates, PC",OR,Healthcare Provider,1000,2025-12-09,Hacking/IT Incident,Email,No,
Ochsner LSU Health – Regional Urology,LA,Healthcare Provider,4519,2025-12-09,Hacking/IT Incident,Network Server,No,
TriCity Family Services,IL,Healthcare Provider,2511,2025-12-08,Hacking/IT Incident,Network Server,No,
NCH Corporation Employee Benefits Plan,TX,Health Plan,3098,2025-12-05,Hacking/IT Incident,Network Server,No,
Columbia Medical Practice,MD,Healthcare Provider,3000,2025-12-05,Hacking/IT Incident,Network Server,No,
Greater St. Louis Oral & Maxillofacial Surgery PC ,MO,Healthcare Provider,501,2025-12-04,Hacking/IT Incident,Email,No,
"Fieldtex Products, Inc.",NY,Business Associate,5901,2025-12-03,Hacking/IT Incident,Network Server,Yes,
"Fieldtex Products, Inc.",NY,Business Associate,9206,2025-12-03,Hacking/IT Incident,Network Server,Yes,
"Fieldtex Products, Inc.",NY,Business Associate,20641,2025-12-03,Hacking/IT Incident,Network Server,Yes,
ConvenientMD LLC,NH,Healthcare Provider,1332,2025-12-02,Unauthorized Access/Disclosure,Email,No,
"West Texas Health, PLLC",TX,Business Associate,73720,2025-12-02,Hacking/IT Incident,Network Server,Yes,
Madison Healthcare Services,MN,Healthcare Provider,500,2025-12-02,Hacking/IT Incident,Network Server,No,
FedEx Corporation Group Health Plan,TN,Health Plan,1066,2025-12-01,Hacking/IT Incident,Network Server,Yes,
Sports Medicine & Orthopaedics,RI,Healthcare Provider,4000,2025-11-30,Hacking/IT Incident,Network Server,No,
Cerenade,CA,Business Associate,987,2025-11-30,Hacking/IT Incident,Network Server,Yes,
Richmond Behavioral Health Authority,VA,Healthcare Provider,113232,2025-11-28,Hacking/IT Incident,Network Server,No,
Spindletop Center,TX,Healthcare Provider,88863,2025-11-28,Hacking/IT Incident,Network Server,No,
Henry Ford Health,MI,Healthcare Provider,1984,2025-11-26,Unauthorized Access/Disclosure,Desktop Computer,No,
Persante Health Care ,NJ,Business Associate,111815,2025-11-26,Hacking/IT Incident,Network Server,Yes,
"Keystone Alliance, Inc.",IL,Business Associate,1021,2025-11-26,Hacking/IT Incident,Email,Yes,
Center for Urologic Care of Berks CO,PA,Healthcare Provider,543,2025-11-26,Hacking/IT Incident,Network Server,No,
"Davies, McFarland & Carroll LLC",PA,Business Associate,54712,2025-11-24,Hacking/IT Incident,Network Server,Yes,
"VITAS Hospice Services, LLC",FL,Healthcare Provider,319177,2025-11-24,Hacking/IT Incident,Network Server,No,
Millcreek Pediatrics,DE,Healthcare Provider,14095,2025-11-21,Hacking/IT Incident,Network Server,No,
"NS Support, LLC",ID,Healthcare Provider,92845,2025-11-21,Hacking/IT Incident,Network Server,No,
"Med Atlantic, Inc.",VA,Business Associate,500,2025-11-21,Hacking/IT Incident,Network Server,Yes,
Delta Dental of Virginia,VA,Health Plan,126953,2025-11-21,Hacking/IT Incident,Email,No,
Nura PLLC,MN,Healthcare Provider,5207,2025-11-21,Hacking/IT Incident,Email,No,
"Fieldtex Products, Inc.",NY,Business Associate,238615,2025-11-20,Hacking/IT Incident,Network Server,Yes,
Dr. Michael Kaplan DO PC DBA Long Island Weight Loss Institute,NY,Healthcare Provider,3426,2025-11-20,Hacking/IT Incident,Network Server,No,
Personic Management Company LLC,VA,Business Associate,10929,2025-11-19,Hacking/IT Incident,Network Server,Yes,
County of Catawba,NC,Health Plan,500,2025-11-19,Hacking/IT Incident,Network Server,No,
NAHGA Claim Services,ME,Health Plan,26906,2025-11-19,Hacking/IT Incident,Network Server,No,
Anchorage Neighborhood Health Center ,AK,Healthcare Provider,70555,2025-11-19,Hacking/IT Incident,Network Server,No,
Dermatology Associates of Concord,MA,Healthcare Provider,501,2025-11-18,Hacking/IT Incident,Network Server,No,
"Marrs Ear, Nose & Throat, PA",FL,Healthcare Provider,6376,2025-11-18,Unauthorized Access/Disclosure,Email,No,
St. John’s Riverside Hospital,NY,Healthcare Provider,2238,2025-11-14,Hacking/IT Incident,Email,No,
Optum Financial Services,MN,Business Associate,2124,2025-11-13,Unauthorized Access/Disclosure,Paper/Films,Yes,
West Suburban Eye Surgery Center LLC,MA,Business Associate,500,2025-11-11,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,
Morton Drug Company,WI,Healthcare Provider,40051,2025-11-10,Hacking/IT Incident,Network Server,No,
Steven J. Pearlman MD PC ,NY,Healthcare Provider,10182,2025-11-09,Hacking/IT Incident,Network Server,No,
"Healthcare Therapy Services, Inc.",IN,Healthcare Provider,15027,2025-11-08,Hacking/IT Incident,Email,No,
Marshfield Clinic Health System ,WI,Healthcare Provider,35952,2025-11-07,Hacking/IT Incident,Email,No,
"Loving and Living Center, PC dba Awakenings Center",NC,Healthcare Provider,17800,2025-11-07,Hacking/IT Incident,Electronic Medical Record,No,
The Chase Group Employee Benefit Plan,NM,Health Plan,817,2025-11-06,Hacking/IT Incident,Network Server,No,
Archer Health,CA,Healthcare Provider,4285,2025-11-06,Hacking/IT Incident,Network Server,No,
Motorola Solutions,IL,Health Plan,22600,2025-11-05,Hacking/IT Incident,Network Server,No,
Tampa Bay Treatment Associates,FL,Healthcare Provider,3682,2025-11-05,Theft,Electronic Medical Record,No,
Denton MHMR Center,TX,Healthcare Provider,108967,2025-11-05,Hacking/IT Incident,Network Server,No,
Tri Century Eye Care PC,PA,Healthcare Provider,200000,2025-10-31,Hacking/IT Incident,Network Server,No,
Expert MRI,CA,Healthcare Provider,209560,2025-10-31,Hacking/IT Incident,Network Server,No,
Judson Center,MI,Healthcare Provider,976,2025-10-31,Hacking/IT Incident,Network Server,No,
